error	sourcefile	lineno	wrong	line
A malformed reading before weeding	AbB-primary	12666	1/2(disz)	10. u3 _1/2(disz) gin2 ku3-babbar_ ar-ra-bu _aszgab_ id-di-nam!(LAM)
A malformed reading before weeding	AbB-primary	13221	1/2(disz)	1. _1/2(disz) gin2 ku3#-babbar#_ sza e-li a-hi-szu
A malformed reading before weeding	AbB-primary	13230	1/2(disz)	10. _1/2(disz) gin2 ku3-babbar_ i-na qa2-ti-szu il-te-qe2
A malformed reading before weeding	AbB-primary	13231	1/2(disz)	11. ki-ma _1/2(disz) gin2 ku3-babbar_ sza i-na qa2-ti-szu il-qu2-u2
A malformed reading before weeding	AbB-primary	13584	1/2(disz)	9'. sza _1/2(disz) ma-na ku3-babbar_-ka
A malformed reading before weeding	AbB-primary	13633	1/2(disz)	2. _tug2# hi-a_ sza _1/2(disz) gin2 ku3-babbar_ [(x)]
A malformed reading before weeding	AbB-primary	13739	NU|)	6. i-na zimbir!(|UD.KIB.NU|){ki}
A malformed reading before weeding	AbB-primary	13739	zimbir!(|UD	6. i-na zimbir!(|UD.KIB.NU|){ki}
A malformed reading before weeding	AbB-primary	14543	1/2(disz)	4. _1/2(disz) gin2 ku3-babbar_
A malformed reading before weeding	AbB-primary	14694	1/2(disz)	2. _1(disz) 1/2(disz) sila3 <i3>-gesz_
A malformed reading before weeding	AbB-primary	15139	1/3(disz)	2. am-mu-uh-hi _1/3(disz) ma-na ku3-babbar_
A malformed reading before weeding	AbB-primary	16934	5/6(disz)	7. _5/6(disz) gin2 ku3-babbar_ s,a-ar-pa-am
A malformed reading before weeding	AbB-primary	19518	1/2(disz)	7. _1(disz) 1/2(disz) ma-na ku3#-babbar#_ a-na {d}suen-u2-se-li
A malformed reading before weeding	AbB-primary	21099	1/3(disz)	9. _ansze# 1(disz)-e 1/3(disz) ma-na#-ta_
A malformed reading before weeding	AbB-primary	21552	1/3(disz)	1. asz-szum _1/3(disz) gin2 ku3-babbar_
A malformed reading before weeding	AbB-primary	21562	1/3(disz)	2. _1/3(disz) gin2 ku3-babbar_ i-di-isz-szum
A malformed reading before weeding	AbB-primary	21615	KIB|)	5. szar-rum a-na zimbir!(|UD.KIB|){ki}
A malformed reading before weeding	AbB-primary	21615	zimbir!(|UD	5. szar-rum a-na zimbir!(|UD.KIB|){ki}
A malformed reading before weeding	AbB-primary	22140	1/2(disz)	2. _1(disz) 1/2(disz) gin2 ku3-babbar_ a-na _sze_-e sza-mi-im
A malformed reading before weeding	AbB-primary	22403	1/3(disz)	4. i-na li-ib-bu _1/3(disz) gin2 ku3-babbar_ te-eq-ru-ba-tum
A malformed reading before weeding	AbB-primary	22533	1/2(disz)	13. x qa2-du _1/2(disz) ma-na ku3-babbar_
A malformed reading before weeding	AbB-primary	22917	1/2(disz)	13. _1/2(disz) gin2 ku3-babbar gu2#-[un a-sza3_]-ia#
A malformed reading before weeding	AbB-primary	22924	1/2(disz)	3. _1/2(disz) gin2 ku3-babbar gu2-un a-sza3_-szu
A malformed reading before weeding	AbB-primary	24369	1/3(disz)	2. _1/3(disz) ma-na 5(disz) gin2 ku3-babbar_
A malformed reading before weeding	AbB-primary	24372	1/3(disz)	5. _1/3(disz) ma-na 5(disz) gin2 ku3#-babbar#_
A malformed reading before weeding	AbB-primary	24376	2/3(disz)	9. _1(disz) 2/3(disz) ma-na 5(disz) gin2 uruda_
A malformed reading before weeding	AbB-primary	25637	1/2(disz)	1. [n] 1/2(disz) _gin2 ku3-babbar_ sza# {d}iszkur
A malformed reading before weeding	AbB-primary	26201	1/3(disz)	2. u3 _1/3(disz) numun-x{sar}_
A malformed reading before weeding	AbB-primary	26536	1/2(disz)	12. _1/2(disz) gin2 ku3-babbar_ sza ar-du ha-al-gi-tu-u2
A malformed reading before weeding	AbB-primary	26542	1/2(disz)	4. [_sze_]-am sza _1/2(disz) gin2 ku3-babbar_
A malformed reading before weeding	AbB-primary	28308	1/2(disz)	4. _3(barig) sze 1/2(disz) sila3 i3-gesz_
A malformed reading before weeding	AbB-primary	28608	1/2(disz)	10. _sze_-am sza _1/2(disz) gin2 ku3-babbar_
A malformed reading before weeding	AbB-primary	29744	AZ/UG	6'. szi-ni/ir-ka da AZ/UG
A malformed reading before weeding	AbB-primary	29744	ni/ir	6'. szi-ni/ir-ka da AZ/UG
A malformed reading before weeding	AbB-secondary	2204	1/2(disz)	7. _3(disz) 1/2(disz) ma-na ku3-babbar_
A malformed reading before weeding	AbB-secondary	2206	1/2(disz)	9. _3(disz) 1/2(disz) ma-na ku3-babbar_
A malformed reading before weeding	AbB-secondary	2905	2/3(disz)	5. _2/3(disz) ma-na 2(disz) gin2 ku3-babbar_ a-na _sa10 1(disz) sag-ARAD_
A malformed reading before weeding	AbB-secondary	2911	1/3(disz)	11. i-na li-ib-bu _1/3(disz) ma-na 2(disz) x ku3#-babbar_
A malformed reading before weeding	AbB-secondary	3990	1/2(disz)	9. _u4 1(disz)-e 2(disz) 1/2(disz) sila3 ninda-ta_ qa2-du ni-is-hi-szu
A malformed reading before weeding	AbB-secondary	4125	1/2(disz)	5. szum-ma _1/2(disz) gin2 ku3-babbar_ szum-ma _2(disz) ma-na siki_
A malformed reading before weeding	AbB-secondary	4272	1/3(disz)	11. sza _3(disz) 1/3(disz) gin2 ku3-babbar_ sza ma-ah-ri#-[ka]
A malformed reading before weeding	AbB-secondary	4456	1/3(disz)	14. da-qa-at _1/3(disz) ma-na ku3-babbar_
A malformed reading before weeding	AbB-secondary	4470	1/2(disz)	12. da-qa-at _1/2(disz) ma-na ku3-babbar_ szu-bi-lam-ma
A malformed reading before weeding	AbB-secondary	5029	1/2(disz)	10. sza-ad-da-aq-da _4(disz) 1/2(disz) gin2 ku3-[babbar_]
A malformed reading before weeding	AbB-secondary	5529	5/6(disz)	9. _8(disz) 5/6(disz) gin2 1(u) 5(disz) sze ku3-babbar_
A malformed reading before weeding	AbB-secondary	5641	2/3(disz)	5. _2/3(disz) ma-na ku3-babbar_ ad-di-szum u3 i-na szi-bu-ti-ia
A malformed reading before weeding	AbB-secondary	5663	2/3(disz)	9. _2/3(disz) ma-na ku3-babbar_ e-li ARAD2-i3-li2-szu i-szu
A malformed reading before weeding	AbB-secondary	5880	1/2(disz)	2. sza a-na _3(disz) 1/2(disz) ma-na ku3-babbar_
A malformed reading before weeding	AbB-secondary	7702	1/2(disz)	1. _1(disz) 1/2(disz) sila3 i3-gesz 3(disz) ku6_ u2-sza-bi-[lam]
A malformed reading before weeding	AbB-secondary	8519	1/3(disz)	7. _1/3(disz) ma-na ku3-babbar_ sza a-a-i-im-ma
A malformed reading before weeding	AbB-secondary	9420	1/2(disz)	12. a-na _5(disz) 1/2(disz) gin2 ku3-babbar_ el-qe2
A malformed reading before weeding	AbB-secondary	9422	1/2(disz)	14. _3(disz) 1/2(disz) gin2 ku3-babbar_ i-di-in-szum
A malformed reading before weeding	AbB-secondary	11067	ki/di	3'. e-li-szu ti-si-ma ki/di x
A malformed reading before weeding	AbB-secondary	11115	1/2(disz)	10. _1/2(disz) sar e2 2(u) 4(disz) gin2 e2 szub-ba_
A malformed reading before weeding	AbB-secondary	11677	NI/IR	5. i x [x] x x x NI/IR-szu
A malformed reading before weeding	AbB-secondary	11685	1/2(disz)	3. _1/2(disz) gin2 2(u) sze ku3-babbar_ ik-ta-la
A malformed reading before weeding	AbB-secondary	11994	1/2(disz)	10. asz-szum 2(disz) 1/2(disz) _gin2 ku3-babbar_ sza i-na bi-ti
A malformed reading before weeding	AbB-secondary	13140	1/2(disz)	8. 2(disz) 1/2(disz) _sila3 i3-sag_
A malformed reading before weeding	AbB-secondary	13528	1/2(disz)	3. 1/2(disz) _ta-am3 kasz_ x x
A malformed reading before weeding	AbB-secondary	16373	2/3(disz)	10. i-na 8(disz) _gin2 ku3-babbar 1(disz) 2/3(disz) gin2 ku3-babbar_
A malformed reading before weeding	AbB-secondary	16442	1/3(disz)	3. 2(disz) _sag-geme2_ sza 1/3(disz) ma-na 3(disz) _gin2 ku3-babbar_ ni-sza-am
A malformed reading before weeding	AbB-secondary	16526	IR?/NI?	13. [x-x]-ZI?-IR?/NI?-[x]
A malformed reading before weeding	AbB-secondary	16643	1/3(disz)	14. u3 ka#-ni-ik-szu 1 1/3(disz) _gin2 ku3-babbar_
A malformed reading before weeding	AbB-secondary	25105	1/2(disz)	10. isz-tu _1/3(disz) sila3 1/2(disz) sila3_ a-di _1(disz) sila3 gesz_
A malformed reading before weeding	AbB-secondary	25105	1/3(disz)	10. isz-tu _1/3(disz) sila3 1/2(disz) sila3_ a-di _1(disz) sila3 gesz_
A malformed reading before weeding	AbB-secondary	25369	1/2(disz)	12. _3(disz) ab2 gu4 hi-a_ u3 _1/2(disz) ma-na ku3-babbar_
A malformed reading before weeding	AbB-secondary	25374	1/2(disz)	1'. _3(disz) ab2# [gu4 hi]-a_ u3 _[1/2(disz) ma-na ku3-babbar]_
A malformed reading before weeding	AbB-secondary	25377	1/2(disz)	4'. _3(disz) ab2 gu4 hi-a_ szu-nu-ti u3 _1/2(disz) ma-na ku3-babbar_
A malformed reading before weeding	AbB-secondary	37593	1/2(disz)	6. a-di a-la-kam _sze 1/2(disz) sila3_
A malformed reading before weeding	AbB-secondary	38224	1/2(disz)	2. sza _1/2(disz) gin2 ku3-babbar_ en-ke!-tim
A malformed reading before weeding	AbB-secondary	38714	1/2(disz)	3. u3 _1(disz) 1/2(disz) sila3 szum2#?-sikil#?{sar#?} babbar?_
A malformed reading before weeding	AbB-secondary	38762	1/2(disz)	7. _1/2(disz) gin2 ku3-babbar_ sza tu-sza-bi-lam
A malformed reading before weeding	AbB-secondary	38949	1/3(disz)	3'. _1/3(disz) sila3-ta-am3_ lu sze-qe2!-et
A malformed reading before weeding	AbB-secondary	39116	1/2(disz)	3. ar-ki-szu-ma _1(disz) 1/2(disz) gin2 ku3-babbar_ a-na i-di _erin2 hun-ga2_
A malformed reading before weeding	AbB-secondary	42829	1/2(disz)	1. _1/2(disz) ma-na ku3-babbar_ li-ib-bu _ku3-babbar_ su2-ti-im
A malformed reading before weeding	AbB-secondary	54704	1/2(disz)	7. _1/2(disz) gin2 ku3-babbar_
A malformed reading before weeding	AbB-secondary	55111	1/2(disz)	14. sza _1/2(disz) gin2# [ku3-babbar_ sza-ma]-am
A malformed reading before weeding	AbB-secondary	55413	1/3(disz)	13. asz-szum 1/3(disz) _ma-na 6(disz) gin2 ku3-babbar_ sza a-ha-ti
A malformed reading before weeding	AbB-secondary	55415	1/3(disz)	15. 1/3(disz) _ma-na ku3-babbar_-ma lu-u2 tu-sza-bi-lam
A malformed reading before weeding	AbB-secondary	55418	1/3(disz)	1. [i]-na# 1/3(disz) _ma-na ku3-babbar 13(disz) gin2 ku3-babbar_
A malformed reading before weeding	AbB-secondary	55423	1/3(disz)	6. i-na _u4_-mi 1/3(disz) _ma-na ku3-babbar_ szu-a-tu
A malformed reading before weeding	AbB-secondary	55623	1/2(disz)	13. sza 1/2(disz) _sila3-ta-a_ 1(gesz2) 1(u) szu-szi
A malformed reading before weeding	AbB-secondary	55678	1/2(disz)	2. _siki hi-a_ sza 1/2(disz) _gin2_
A malformed reading before weeding	AbB-secondary	56343	1/3(disz)	9. 4(disz) 1/3(disz) _ma-na siki_
A malformed reading before weeding	AbB-secondary	56569	1/2(disz)	12. 1(disz) 1/2(disz) _sila3 i3-gesz_ i-na-an-ni
A malformed reading before weeding	AbB-secondary	57534	2/3(disz)	5. i-na 1(disz) _gin2 ku3-babbar_ sza-a-tu sza 2/3(disz) _gin2 1(u) 5(disz) <sze> ku3-[babbar_]
A malformed reading before weeding	AbB-secondary	57537	1/2(disz)	8. tu-sza-bi-lam 1/2(disz) _gin2 1(u) 5(disz) sze ku3-babbar_
A malformed reading before weeding	AbB-secondary	57989	LISZ|)	8. u3 1(disz) szu-szi _{gesz}asal2(|A.<TU>.GAB.LISZ|)_ sza a-na sza-ga-mi i-re-di-a
A malformed reading before weeding	AbB-secondary	57989	asal2(|A	8. u3 1(disz) szu-szi _{gesz}asal2(|A.<TU>.GAB.LISZ|)_ sza a-na sza-ga-mi i-re-di-a
A malformed reading before weeding	AbB-secondary	58092	1/2(disz)	7. 2(disz) 1/2(disz) _gin2 ku3-babbar_ ki-ma ka-an-kum
A malformed reading before weeding	AbB-secondary	59141	1/3(disz)	12. a-ki 1/3(disz) _ma-na ku3-babbar_
A malformed reading before weeding	AbB-secondary	60560	1/2(disz)	5. _1/2(disz) gin2 ku3-babbar_ dam-qu2-tim
A malformed reading before weeding	AbB-secondary	61777	1/2(disz)	11. _1(disz) 1/2(disz) sar e2 sza3_ bi-ti-ia
A malformed reading before weeding	AbB-secondary	61782	1/2(disz)	4. i-na-an-na _1/2(disz) sar e2_ il-te-qe2-szu
A malformed reading before weeding	AbB-secondary	62619	1/2(disz)	9. sza _1/2(disz) ma#-na# [ku3-babbar_]
A malformed reading before weeding	AbB-secondary	62714	1/3(disz)	5. {disz}qi2#-bi2-szum-ma-ti-kal _1/3(disz) ma-na ku3-babbar_
A malformed reading before weeding	AbB-secondary	65843	1/2(iku)	6. _1(iku) 1/2(iku) GAN2 a-sza3_ a-na e-re-szi pa-al-gi
A malformed reading before weeding	AbB-secondary	68255	1/2(disz)	9. {disz}i-din-_e2-mah 2 1/2(disz) gin2 ku3-babbar_ le-qu2
A malformed reading before weeding	AbB-secondary	68262	1/2(disz)	4. 2 1/2(disz) _gin2 ku3-babbar_ szum-ma szu-usz-qu2-lum#
A malformed reading before weeding	AbB-secondary	68466	tu#/li#	13. AB?-[x-x-x]-szu-GU?-ul-tu#/li#-[x]
A malformed reading before weeding	AbB-secondary	68739	TA?/SZA?	11. szum-ma-an ha-mu-TA?/SZA?-am
A malformed reading before weeding	AbB-secondary	68859	SZA?/TA?	6. u2-SZA?/TA?-[x-x-x]
A malformed reading before weeding	AbB-secondary	69119	1/2(disz)	8. 2(disz) {na4}hu-ul-lu u3 1 1/2(disz) _gin2 ku3-gi_
A malformed reading before weeding	AbB-secondary	69124	1/2(disz)	13. u3 1 1/2(disz) _gin2 ku3-gi_
A malformed reading before weeding	AbB-secondary	69177	1/2(disz)	17. 1 1/2(disz) _ma-na 5(disz) gin2 ku3-babbar_ sza 3 [x-x-x]
A malformed reading before weeding	AbB-secondary	70313	KI?/DI?	14. t,e4-em-ka KI?/DI?-[x-x-x-x-x]
Z malformed reading after weeding	AbB-secondary	14900	"0,1" in "0,1"	7. 0,2.4 _zu2-lum 0,1 ziz2-an-na_
Z malformed reading after weeding	AbB-secondary	14900	"0,2" in "0,2"	7. 0,2.4 _zu2-lum 0,1 ziz2-an-na_
Z malformed reading after weeding	AbB-secondary	16644	"0,2" in "0,2"	15. u3 0,2.4 sze ma-ah-ri-ia
Z malformed reading after weeding	AbB-secondary	68155	"1,1" in "1,1"	7. szum-ma 1(asz) _sze-gur_ szum-ma 1,1 _sze-gur_
Z malformed reading after weeding	AbB-secondary	68723	"3,3" in "3,3"	9. 3,3 [(x)] _gur#_ im-du-ud
Z malformed reading after weeding	AbB-secondary	68724	"3,3" in "3,3"	10. 3,3 _gur ba-zi_ na-szi
Z malformed reading after weeding	AbB-secondary	68733	"46,3" in "46,3"	5. i-na 46,3.2.0 _gur zu2-lum_
Z malformed reading after weeding	AbB-secondary	68734	"31,2" in "31,2"	6. 31,2.3.0 _gur_ im-du-ud
Z malformed reading after weeding	AbB-secondary	68735	"5,2" in "5,2"	7. 5,2.0.0 _gur ba-zi_ na-szi
Z malformed reading after weeding	AbB-secondary	68736	"9,4" in "9,4"	8. a-na si-it-ti 9,4.0.0 _gur_
Z malformed reading after weeding	AbB-secondary	68798	"0,0" in "0,0"	5. a-na sza-pi2-ri-ia 0,0.1.0 _i3-gisz_
Z malformed reading after weeding	AbB-secondary	68848	"0,0" in "0,0"	6. [0,0.]2.0 _zid2-da_ na-[x]-PI?-[x]
Z malformed reading after weeding	AbB-secondary	68849	"0,0" in "0,0"	7. [0,0.]2.0 _zid2-da_ na-DI?-[x]
Z malformed reading after weeding	AbB-secondary	70784	"u3be" in "u3be"	11. a-bi u3be-li2 li-isz-pu-ra-ma
Z malformed reading after weeding	AbB-secondary	71078	"0,0" in "0,0"	5. 0,0.2 _gesztin-hi-a_ dam-qa2-<tim>
adjacent numerals	AbB-secondary	14203	2(u)5(disz)	9. i-na _iti ziz2-a u4 2(u)5(disz) kam_
adjacent numerals	AbB-secondary	14315	1(u)8(disz)	6. asz-szum 1(u)8(disz) _gin2 ku3-babbar_
adjacent numerals	AbB-secondary	14526	1(u)4(disz)	7. u3 _dingir_-szu-i-bi a-na 1(u)4(disz) _gin2 ku3-babbar_
adjacent numerals	AbB-secondary	14590	2(gesz2)1(u)2(asz)	6. 2(gesz2)1(u)2(asz) _gur a-sza3 igi uru{ki}_
adjacent numerals	AbB-secondary	14591	2(gesz2)1(u)	7. 2(gesz2)1(u) _gur a-sza3 hi-isz sar_
adjacent numerals	AbB-secondary	14592	1(gesz2)4(asz)	8. 1(gesz2)4(asz) _gur a-sza3 a-gar3 gu-la_
adjacent numerals	AbB-secondary	14593	1(geszu)6(gesz2)2(u)6(asz)	9. 1(geszu)6(gesz2)2(u)6(asz) _gur_
adjacent numerals	AbB-secondary	14901	2(u)8(disz)	8. 2(u)8(disz) _ku6 hi-a_
adjacent numerals	AbB-secondary	68722	1(u)2(asz)	8. asz-ku-nu i-na 1(u)2(asz) _gur zu2-lum_-szu
adjacent numerals	AbB-secondary	70585	1(u)2(disz)	12. u3 ta-asz-pi2-it 1(u)2(disz) _ab2-ga_
adjacent numerals	AbB-secondary	70888	1(gesz2)1(u)	5. u3 1(gesz2)1(u) _{gisz}sza3-giszimmar_
long reading	AbB-primary	486	"geszimmar" in "geszimmar"	7'. _5(disz) ma-na {gisz}zu2 geszimmar_
long reading	AbB-primary	9148	"szunigin" in "szunigin"	8. _szunigin 6(gesz2) 2(u) 1(asz) 5(ban2) sze gur {gesz}ban2#_ [{gesz}me]-sze#-qum
long reading	AbB-primary	16751	"szakkan2" in "szakkan2"	4. {d}szakkan2 u3 {d}dumu-zi
long reading	AbB-primary	18009	"isztaran" in "isztaran"	6. {disz}{d}isztaran-ki-nam-i-de
long reading	AbB-primary	20132	"szakkan2" in "szakkan2"	5'. a-na mu-ha-du-um u3 a-pil-{d}szakkan2
long reading	AbB-primary	20146	"szakkan2" in "szakkan2"	4. {disz}mu-ha-du-um u3 a-pil#-[{d}]szakkan2
long reading	AbB-primary	22639	"isztaran" in "isztaran"	3. u3 ge6-{d}isztaran
long reading	AbB-primary	23026	"taskarin" in "taskarin"	6. asz-szum _{gesz}taskarin# hi-a_ sza# ta#-asz-pu#-ra-am
long reading	AbB-primary	23033	"taskarin" in "taskarin"	13. 3(disz) szu-szi _{gesz}taskarin hi-a_
long reading	AbB-primary	23037	"taskarin" in "taskarin"	3. i-nu-ma 1(disz) szu-szi _{gesz}taskarin hi-a_
long reading	AbB-primary	24598	"illegible" in "illegible"	1'. ($ illegible $)
long reading	AbB-primary	24599	"illegible" in "illegible"	2'. ($ illegible $)
long reading	AbB-primary	24600	"illegible" in "illegible"	3'. ($ illegible $)
long reading	AbB-primary	24605	"illegible" in "illegible"	8'. ($ illegible $)
long reading	AbB-primary	24606	"illegible" in "illegible"	9'. ($ illegible $)
long reading	AbB-primary	24607	"illegible" in "illegible"	10'. ($ illegible $)
long reading	AbB-primary	28504	"isztaran" in "isztaran"	3'. [...] x x {d}isztaran
long reading	AbB-secondary	3804	"kuruszda" in "kuruszda"	5. _1(u) udu-nita2 hi-a_ sza _e2 {lu2}kuruszda_
long reading	AbB-secondary	3808	"kuruszda" in "kuruszda"	9. _2(disz) {lu2}kuruszda_ t,u2-ur-dam
long reading	AbB-secondary	5141	"geszimmar" in "geszimmar"	6. u3 i-na-an-na a-na _gesz-ur3 geszimmar_ na-sze-e-em
long reading	AbB-secondary	5145	"geszimmar" in "geszimmar"	10. u3 i-na-an-na _gesz-ur3 geszimmar hi-a_
long reading	AbB-secondary	6649	"muhaldim" in "muhaldim"	5. {disz}{d}suen-i-di2-nam _muhaldim_
long reading	AbB-secondary	7631	"szandana" in "szandana"	4. {disz}ki-ib-ra-ab-ba _szandana_-ka
long reading	AbB-secondary	9033	"isztaran" in "isztaran"	3. um-ma {d}isztaran-szi-it-ma-ar-ma a-hu-ka
long reading	AbB-secondary	9034	"isztaran" in "isztaran"	4. {d}utu u3 {d}isztaran
long reading	AbB-secondary	14650	"kaskaltur" in "kaskaltur"	6. {disz}a-li2-_kaskal+tur_-ti
long reading	AbB-secondary	22290	"muhaldim" in "muhaldim"	4. asz-szum 1(disz) ib#-ni-{d}mar-tu _ugula muhaldim-mesz_
long reading	AbB-secondary	22292	"muhaldim" in "muhaldim"	6. sza# asz#-szum# _4(disz) muhaldim-mesz_ u2-lam-mi#-da#-[an-ni]
long reading	AbB-secondary	22295	"muhaldim" in "muhaldim"	9. 4(disz) _muhaldim#-mesz_ szu-nu-ti
long reading	AbB-secondary	22305	"muhaldim" in "muhaldim"	4. 1(disz) gi-mil-lum# szu#-u2 du-ur2-szu _muhaldim_
long reading	AbB-secondary	22308	"muhaldim" in "muhaldim"	7. i-na _muhaldim-mesz_-ma i-il-la-ak
long reading	AbB-secondary	22312	"muhaldim" in "muhaldim"	11. _muhaldim_ u3 tah-hu-szu# szu-tam-le-[e]-ma#
long reading	AbB-secondary	22722	"muhaldim" in "muhaldim"	4. asz-szum {disz}i3-li2-ip-pa-al-sa3#-[am _ugula muhaldim-mesz_]
long reading	AbB-secondary	22729	"muhaldim" in "muhaldim"	11. a-nu-um-ma i3-li2-ip-pa-al-sa3-am _ugula muhaldim-mesz_
long reading	AbB-secondary	23906	"kuruszda" in "kuruszda"	6. {disz}{d}utu-i-pu-usz _kuruszda lu2_ larsa{ki}
long reading	AbB-secondary	24117	"muhaldim" in "muhaldim"	5. {disz}i3-li2-tukul-ti _muhaldim nig2-szu_ a-pil2-{d}utu
long reading	AbB-secondary	39902	"geszimmar" in "geszimmar"	5. _nu-{gesz}kiri6_ sza _{gesz}geszimmar dilmun-na_
long reading	AbB-secondary	41782	"szunigin" in "szunigin"	14. _szunigin 2(gesz'u) 3(gesz2) 5(u) 8(asz) gur_
long reading	AbB-secondary	57267	"isztaran" in "isztaran"	2. [{disz}{d}]isztaran#-isz-me-an-ni _simug u3 aga-us2_ szi-ta-a-al
long reading	AbB-secondary	58468	"muhaldim" in "muhaldim"	8. _lu2 [x] ugula muhaldim-mesz ugula_ x [x x (x)]
long reading	AbB-secondary	59712	"szandana" in "szandana"	8. u3 a-bu-um-wa-qar _szandana_
long reading	AbB-secondary	59717	"szandana" in "szandana"	13. _szandana_
long reading	AbB-secondary	61357	"szandana" in "szandana"	8. a-ga-na sza _szandana-mesz_ sza im-ta-na-ha-ru-ni-ni
long reading	AbB-secondary	66227	"geszimmar" in "geszimmar"	4. 3(bur3) _gan2_-lam i-na _a-sza3 {gesz}geszimmar nu2-a_
long reading	AbB-secondary	70888	"giszimmar" in "giszimmar"	5. u3 1(gesz2)1(u) _{gisz}sza3-giszimmar_
long reading	AbB-secondary	70890	"giszimmar" in "giszimmar"	7. s,i-bu-ut _{gisz}sza3-giszimmar_ ni-szu
mixed case in alternative	AbB-secondary	68255	2	9. {disz}i-din-_e2-mah 2 1/2(disz) gin2 ku3-babbar_ le-qu2
mixed case in default	AbB-primary	103	0	4. _{d}utu_ u3 _{d}amar-utu_ da-ri-[isz] _u4_-[mi 0]
mixed case in default	AbB-secondary	11498	1	3. s,u2-ha-ra-am 1 x ih-ta-ia-at,
mixed case in default	AbB-secondary	11513	0	18. a-na szu-ti-im le-qe2-em [0 0]
mixed case in default	AbB-secondary	11810	0	12. [x x x 0]-ta-tim
mixed case in default	AbB-secondary	11912	0	4. [_{d}utu_] u3 _{d}amar-utu_ asz-szu-mi-ia da-ri-isz _u4_-mi [0]
mixed case in default	AbB-secondary	12036	0	4. _{d}utu_ u3 _{d}amar-utu_ da-ri-[isz _u4_-mi 0]
mixed case in default	AbB-secondary	12142	0	10. _szuku_ u3 ma-asz-ti-[tum] x ma it ti sza bu x [0]
mixed case in default	AbB-secondary	12783	0	4. [x x 0] tu-sza-ba-lim
mixed case in default	AbB-secondary	12936	0	6. [x 0] x la i-he-su-u2
mixed case in default	AbB-secondary	13190	0	8. a-na _u4 5(disz) kam_ a-na _sze_-szu ba-ba-li [0]
mixed case in default	AbB-secondary	13653	1	6. 1 {gi}qu2-up-pa-am x [...]
mixed case in default	AbB-secondary	13654	1	7. 1 {gi}qu2-up-pa-am x [...]
mixed case in default	AbB-secondary	13716	0	13. a-na wu-szu-ri-im mi-nu [0]
mixed case in default	AbB-secondary	14005	0	14. ah-hu-ia sze-e-ia [x-x-0]
mixed case in default	AbB-secondary	14098	0	1. la an-ni-it-ku-nu-[0-0]
mixed case in default	AbB-secondary	14319	18	10. [18] _gin2# ku3-babbar_ wa-at-ra-am
mixed case in default	AbB-secondary	14536	0	1. u3 a-la-<ak>-ti u3 [x-0]
mixed case in default	AbB-secondary	14900	4	7. 0,2.4 _zu2-lum 0,1 ziz2-an-na_
mixed case in default	AbB-secondary	16184	0	13. [x] DI? a DI? [x] _ku3-babbar_ [x-0]
mixed case in default	AbB-secondary	16197	0	10. pi2-qa2-at asz-szum sze-im u2-pa-ra [x-x-0]
mixed case in default	AbB-secondary	16364	0	1. li#-mu-ur [0]
mixed case in default	AbB-secondary	16382	0	19. lu-u2 sze-am lu-u2 _ku3-babbar#_ [0]
mixed case in default	AbB-secondary	16462	0	2. [0] sza#-al#-ma-ku u3 bi-it#-ka
mixed case in default	AbB-secondary	16463	0	3. [0 0 x-x]-ka sza-al-ma-at
